id,token_address,symbol,pair_id,original_label,horizon,max_future_return_pct,return_at_horizon_pct,reject_reasons,liquidity_at_scan,volume_at_scan,pair_age_hours_at_scan,price_change_1h_at_scan,security_score,fdv,fdv_liquidity_ratio,tradability_score,tradability_label,should_be_high_risk_momentum,main_lesson,created_at
13473,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,8h,56.55363870711878,56.55363870711878,[],242285.65,579650.61,760.7201430608334,1.94,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13472,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2h,56.55363870711878,56.55363870711878,[],242285.65,579650.61,760.7201430608334,1.94,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13471,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,30m,56.55363870711878,56.55363870711878,[],242285.65,579650.61,760.7201430608334,1.94,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13470,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,8h,53.2117213273821,53.2117213273821,[],240436.13,656701.52,748.9975958447221,-11.91,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13469,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2h,53.2117213273821,53.2117213273821,[],240436.13,656701.52,748.9975958447221,-11.91,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13468,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,30m,53.2117213273821,53.2117213273821,[],240436.13,656701.52,748.9975958447221,-11.91,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13467,0x8f9e7ce623e99C789dc01579a42522CF9077CC8a,RoboX,base:0x348b81863531ce001a9ee8b5d4d0230f76314cc7ef9e89aa63dee9b50b1cd333,Watchlist,2h,64.41351888667992,64.41351888667992,[],45651.37,554636.79,2.0231239630555558,-43.33,,100647.0,2.2046873949237447,75.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13466,0xF2270F70E4D5AA860337CF1E698b155aDd6E692D,FLOOD,base:0x1ab70efaad5c80164d82b916805ab6e1aae9743a817cbd806e866be21c44107b,Watchlist,15m,60.22913256955811,60.22913256955811,[],84115.43,600156.3,0.9986242122222222,422.0,,122300.0,1.4539544052738007,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13465,0xF2270F70E4D5AA860337CF1E698b155aDd6E692D,FLOOD,base:0x1ab70efaad5c80164d82b916805ab6e1aae9743a817cbd806e866be21c44107b,Watchlist,1h,85.35188216039282,85.35188216039282,[],84115.43,600156.3,0.9986242122222222,422.0,,122300.0,1.4539544052738007,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13464,0xF2270F70E4D5AA860337CF1E698b155aDd6E692D,FLOOD,base:0x1ab70efaad5c80164d82b916805ab6e1aae9743a817cbd806e866be21c44107b,Watchlist,30m,85.35188216039282,85.35188216039282,[],84115.43,600156.3,0.9986242122222222,422.0,,122300.0,1.4539544052738007,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
