id,token_address,symbol,pair_id,ten_x_score,risk_adjusted_10x_score,manipulation_risk_score,horizon,return_pct,failure_reasons,diagnosis_text,created_at
17350,0xD02D22dbB39860cA5e966c6C2DEb95B1249c249D,FF,base:0x2d7cea69a888138066a711130a291289380b8056ef514f31aed58864236d22b1,86.0,86.0,0.0,24h,-47.93650793650793,"[""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17349,0x055b2843d771903c32940e80Cdd47cb0c36DA711,OPACITY,base:0x23eced29ebc22bc8a3f74165e4a8899e2e930e15d1aef4b281b1a04daa97cc93,84.0,39.0,45.0,8h,-46.108247422680414,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17348,0x0Dd88a00F80c5ad71B24D4928d7c959D616b52af,BUGZ,base:0x281aa43060db814830c140704327e0f20d5599c7ade66ef9c6bf3418c8c7206b,100.0,100.0,0.0,2h,-45.34543325526932,"[""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17347,0x0Dd88a00F80c5ad71B24D4928d7c959D616b52af,BUGZ,base:0x281aa43060db814830c140704327e0f20d5599c7ade66ef9c6bf3418c8c7206b,100.0,100.0,0.0,1h,-45.34543325526932,"[""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17346,0x0Dd88a00F80c5ad71B24D4928d7c959D616b52af,BUGZ,base:0x281aa43060db814830c140704327e0f20d5599c7ade66ef9c6bf3418c8c7206b,100.0,100.0,0.0,30m,-45.34543325526932,"[""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17345,0x0Dd88a00F80c5ad71B24D4928d7c959D616b52af,BUGZ,base:0x281aa43060db814830c140704327e0f20d5599c7ade66ef9c6bf3418c8c7206b,100.0,100.0,0.0,15m,-45.34543325526932,"[""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17344,0x0Dd88a00F80c5ad71B24D4928d7c959D616b52af,BUGZ,base:0x281aa43060db814830c140704327e0f20d5599c7ade66ef9c6bf3418c8c7206b,100.0,100.0,0.0,4h,-41.10070257611241,"[""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17343,0x055b2843d771903c32940e80Cdd47cb0c36DA711,OPACITY,base:0x23eced29ebc22bc8a3f74165e4a8899e2e930e15d1aef4b281b1a04daa97cc93,84.0,14.0,70.0,24h,-85.3737113402062,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17342,0x77f69AC5849d50C33802C1dEC25638ca76c6cE90,VT,base:0x52870576cdef70694aa750f344b6fc2e05588696fe163be48fd97c87cc6234b3,97.0,52.0,45.0,2h,-57.53098188751191,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17341,0x77f69AC5849d50C33802C1dEC25638ca76c6cE90,VT,base:0x52870576cdef70694aa750f344b6fc2e05588696fe163be48fd97c87cc6234b3,97.0,52.0,45.0,1h,-57.53098188751191,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
